87291	74591	89389	63171	61262	77144	41793	99389	89732	96019
15708	68086	18206	2932	31705	5275	53701	1147	48655	58784
92217	46978	50039	2773	23507	91282	37966	28427	89254	58518
11272	95175	96332	53505	41931	19105	33345	41598	12251	86519
61546	79057	44540	46657	94133	53011	86684	75881	71186	51875
2490	91048	19488	43378	18957	78085	94587	79968	54620	21271
19455	14773	42509	53284	60519	34373	14192	71981	58602	57903
4159	9811	17035	3842	72107	9290	87670	79088	16245	69665
68575	84074	41973	49271	74256	95468	20501	80213	63859	70211
10915	57990	27658	12547	90387	19773	21325	88683	87760	75121
67462	99943	6434	69648	11264	79736	7414	48102	98186	55482
42341	53667	55349	74793	43255	35719	72193	80172	80330	938
83445	10074	91900	49798	25148	56140	27065	78001	22285	66822
91785	9627	73330	94348	61974	13858	92235	83330	10475	18862
42665	25540	11172	77624	98307	32027	94341	25745	13192	31560
71992	81965	54527	99279	2376	8009	87649	86694	26378	30248
45565	78107	13620	90576	46445	44096	98535	52004	20347	53608
75398	16619	150	14941	65335	80294	92692	31252	57669	96190
86458	64369	78985	9023	57082	31529	53204	79026	4257	8754
19228	43061	42597	85623	17049	32517	67729	58792	8367	73698
80880	80670	19827	43343	26104	59955	44980	26561	4666	24047
47004	959	92142	28497	26596	19452	26527	75757	45262	4222
52341	45049	80215	7545	49482	51764	34378	55748	6231	64785
38092	31182	27402	65637	87168	50898	27202	2944	2785	88992
31981	53142	23955	6653	92135	51582	76302	33744	89419	89248
37554	23966	52698	49920	92287	61611	40057	6847	66240	11479
77154	68829	36126	8881	45564	12038	8967	69442	33045	94041
98587	45069	19650	97081	26733	71380	87943	79655	23965	553
92265	92397	13198	16537	86139	50195	35561	96776	91364	23419
65264	25441	70448	20411	44823	18114	35791	86383	63455	84681
88131	7365	4369	25758	60978	4314	83404	74690	58753	17477
46845	61769	31197	77288	84052	59279	92403	68945	40511	64845
35382	39053	33617	14191	3626	4368	83874	77735	62134	48126
94194	76477	56424	37797	21435	58217	3642	98161	2173	77009
65041	28327	64979	76516	30165	60056	13202	70264	61533	16765
46816	84230	74944	31563	43333	61084	95586	3448	58143	62360
65455	38967	57064	64247	50669	50998	70511	53739	91643	86323
20738	78796	95856	72740	3871	90167	7834	14822	28154	33006
51728	58451	62999	19970	15464	89188	84250	62493	68486	83354
83770	60366	14434	8351	73385	81586	67569	16970	90685	6687
54705	15012	11227	38524	44512	81659	87352	44798	63880	29392
10298	51266	70795	99865	46311	43369	71391	11635	77642	39128
38966	24440	54581	70349	72614	28553	17996	915	8072	87124
13149	8947	47470	69284	55092	86528	69608	8072	97095	78234
20735	54928	33184	91521	24529	43445	15043	37683	8961	60088
44143	18496	62776	85112	58989	68632	240	74848	34185	94971
97719	2345	65925	22459	30329	73229	95159	51831	70521	10118
38733	24100	81386	44772	44519	44723	57366	19180	96762	77436
62255	35365	73626	4021	34170	63318	41161	32365	37460	3643
10678	96586	88533	88196	62799	8626	25207	73296	12540	2160
30291	96163	36101	11375	25598	9232	75833	90628	88127	66389
65815	62853	64919	58382	77286	25178	24151	76085	8809	2488
24815	2441	83447	26295	77997	19526	50108	52682	30943	58289
10757	87790	1788	55904	93274	25359	8589	63505	93211	25778
78296	49544	51494	65258	86047	38562	53362	67917	59968	54807
75213	25439	81884	75180	27732	24872	48350	21377	71136	53128
37982	43390	88790	75532	30890	76873	14071	71699	36808	5112
67201	35178	31047	45779	44210	18303	21619	62422	21336	76919
76362	64691	29822	4348	68912	66767	43914	47514	30561	70786
59005	31835	19203	66140	1026	99928	5863	23969	12889	95803
47853	76445	68894	86664	10528	4835	64023	72934	17390	53644
51543	38483	99253	38694	6333	8089	84160	15124	99050	72884
83907	91899	91653	44032	9703	7924	26542	31564	38106	90585
48315	43498	12866	29829	79228	94119	20913	17622	20126	22860
82970	54076	83776	51772	69604	8079	4029	19986	5106	37306
89612	51587	84056	82094	28221	15252	33011	22799	5680	51070
80068	25920	64620	51430	18690	76818	2206	42262	50890	99432
64298	80670	58099	22989	58388	45403	66923	902	75472	72391
75972	82140	58068	45528	46697	28174	48884	65162	46055	39110
48631	61606	36429	79240	9186	2796	37621	89616	43715	2612
62510	9870	63053	8349	30418	37686	8667	43964	88739	26103
57111	50775	78778	52985	1691	41426	98784	85194	19044	12540
57489	68269	52622	90683	9818	73851	56738	73614	99605	43232
98563	40590	94588	9419	38095	40273	38447	81475	79468	43016
54990	91320	24685	1246	37895	32346	50530	99941	76692	37170
4191	54653	27274	85289	57146	92910	41388	31319	75183	6427
7759	55453	1808	98778	66467	25618	11750	67441	4377	58789
92037	24252	57082	39208	5009	12293	44488	36345	98932	46056
17486	76427	64621	77274	99087	48948	68391	87623	15852	65897
76183	38716	40284	26608	60227	49938	86872	41618	42668	59325
83057	46456	8912	35528	37076	60120	41446	43124	56837	80166
90681	9875	73313	48788	18853	62468	67340	86745	21966	83993
83890	88264	66140	57562	43154	86899	21567	11770	50217	45782
69718	4385	29463	58491	45297	51482	68405	53259	15205	15636
9126	24995	38477	90081	61571	49470	73401	45208	4873	91735
64017	82637	2339	15210	20480	86657	88967	79632	82705	77812
37783	44073	60309	31486	7202	79297	8044	14923	86344	99039
2516	33765	84910	98778	25188	54378	47286	56053	4333	9028
37505	6565	51832	90355	19384	10694	33721	57781	69604	90768
75093	71489	17541	95971	68258	73292	72132	32105	46481	57882
35038	58006	42960	5540	2299	44842	22432	35253	41554	10310
1700	45379	84526	85859	98925	79157	93220	22438	71749	69369
2017	60888	1353	35849	11181	37502	61168	35950	47000	76052
78165	15590	40798	18955	94670	71106	40934	36771	95499	79835
99619	23538	64778	72558	3389	78285	17544	13018	52258	8838
87401	91035	98976	84553	89912	85339	90928	49473	38088	36882
16962	16021	72028	27848	67500	67290	69872	30746	21321	9260
36743	14071	98828	45069	91744	16459	82938	85169	69580	4508
3202	27326	37458	23985	63917	87558	55693	12824	42630	60431
90263	22692	23517	45838	65548	71839	60282	47566	31488	64568
12065	56474	4759	84681	60552	23668	13892	61799	50890	9473
99116	47999	60010	33071	79774	69342	41312	90175	18639	93760
46683	79178	13082	89072	87729	19033	6601	64330	56966	78697
43635	80899	73609	95338	48629	17743	26538	96718	38938	18098
10285	57168	36394	17111	89615	56734	91113	37664	1068	70819
32870	5683	75572	78328	74734	21955	57315	47453	89416	91642
39073	21949	96303	14399	37711	13525	62792	70926	95715	41915
2338	33194	83093	90556	43844	93325	62069	90366	70443	84487
98482	30877	54649	34335	13022	94734	88368	75793	42562	93608
69262	64971	850	16983	4076	81833	92021	2872	77094	62544
20213	80936	11127	83914	59391	66066	98387	95029	76861	51632
26423	47853	87589	41575	2719	34882	11215	59995	6587	76955
99717	91391	85261	77574	82520	15403	21904	339	87011	34221
19202	11464	76674	9445	37463	51857	73688	59930	34398	52276
51694	44819	90207	50860	47062	71108	82863	48749	52316	95228
46	5273	28905	97644	12514	69354	69608	83951	25154	31461
61431	98447	51406	26932	89988	66346	55196	84525	94065	88094
69945	57608	88881	25617	31494	99413	14550	8125	83917	68222
